City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.55,71,43,10.8,scattered clouds
1,Jamestown,US,42.097,-79.2353,18.99,52,98,8.99,overcast clouds
2,Xiaoyi,CN,34.6178,109.703,68.97,37,3,7.05,clear sky
3,Busselton,AU,-33.65,115.3333,69.49,58,49,14.92,scattered clouds
4,Paamiut,GL,61.994,-49.6678,23.32,73,72,7.0,broken clouds
5,Morant Bay,JM,17.8815,-76.4093,78.42,82,21,14.52,few clouds
6,Bethel,US,41.3712,-73.414,27.95,66,35,7.0,scattered clouds
7,Punta Arenas,CL,-53.15,-70.9167,42.12,75,54,10.87,broken clouds
8,Tevaitoa,PF,-16.7833,-151.5,82.22,73,28,13.4,light rain
9,Ushuaia,AR,-54.8,-68.3,42.46,70,20,4.61,few clouds
10,Broome,US,42.2506,-75.833,18.86,67,75,14.97,broken clouds
11,Hobart,AU,-42.8794,147.3294,68.27,78,75,19.57,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,24.96,82,100,8.12,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,72.86,62,19,8.12,few clouds
14,Cape Town,ZA,-33.9258,18.4232,65.12,79,55,8.7,broken clouds
15,Esperance,AU,-33.8667,121.9,68.04,60,85,13.67,overcast clouds
16,Ancud,CL,-41.8697,-73.8203,55.22,83,88,19.93,overcast clouds
17,Bambous Virieux,MU,-20.3428,57.7575,84.22,62,11,7.25,few clouds
18,Mataura,NZ,-46.1927,168.8643,62.51,76,1,5.99,clear sky
19,Billings,US,45.7833,-108.5007,60.51,49,75,5.75,broken clouds
20,Te Anau,NZ,-45.4167,167.7167,67.48,62,12,2.84,few clouds
21,Ruteng,ID,-8.6136,120.4721,70.84,83,72,1.77,light rain
22,Rikitea,PF,-23.1203,-134.9692,79.14,70,83,10.54,broken clouds
23,Pangoa,PE,-12.1167,-73.0,66.76,99,80,1.52,broken clouds
24,Ponta Do Sol,PT,32.6667,-17.1,63.05,71,100,4.29,overcast clouds
